Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify that admin is able to sort the manufacturers name and sort order in descending order using 'Sorting Functionality',UM-44,10079,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,03/Sep/21 3:15 PM,09/Sep/21 9:14 AM,09/Sep/21 10:33 AM,07/Sep/21 10:19 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-43,UM-22,,,,,,,,,{},,,,,,,0|i000b2:i,,UM Sprint 1,,,,,,,,Done
Verify that admin is able to sort the manufacturers name and sort order in ascending order using 'Sorting Functionality',UM-43,10078,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,03/Sep/21 3:03 PM,09/Sep/21 9:14 AM,09/Sep/21 10:33 AM,07/Sep/21 10:19 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-42,UM-22,,,,,,,,,{},,,,,,,0|i000b2:,,UM Sprint 1,,,,,,,,Done
"Verify that on the 'Image Field' by default image is uploaded, If admin modifies the image field and clicks on the save button it is saved or not",UM-42,10077,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,03/Sep/21 2:22 PM,09/Sep/21 9:14 AM,09/Sep/21 10:33 AM,07/Sep/21 10:18 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-41,UM-21,,,,,,,,,{},,,,,,,0|i000au:x,,UM Sprint 1,,,,,,,,Done
Verify that after clicking on the 'Cancel Button' it should revert back to the same page and should not save the data on the records page ,UM-41,10076,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,03/Sep/21 12:46 PM,09/Sep/21 9:14 AM,09/Sep/21 10:33 AM,07/Sep/21 10:17 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-40,UM-2,,,,,,,,,{},,,,,,,0|i000ak:,,UM Sprint 1,,,,,,,,Done
Verify that the 'Check Box' under the stores field is checked by default or not,UM-40,10075,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,03/Sep/21 12:19 PM,09/Sep/21 9:14 AM,09/Sep/21 10:33 AM,07/Sep/21 10:10 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-39,UM-2,,,,,,,,,{},,,,,,,0|i0006u:zi,,UM Sprint 1,,,,,,,,Done
Verify the 'Manufacturer Name' text field accepting max 64 characters,UM-39,10074,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,03/Sep/21 12:07 PM,09/Sep/21 9:14 AM,09/Sep/21 10:33 AM,07/Sep/21 10:10 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-38,UM-2,,,,,,,,,{},,,,,,,0|i0006u:y,,UM Sprint 1,,,,,,,,Done
Verify the 'Manufacturer Name' text field is present on the add manufacturers page,UM-38,10073,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,03/Sep/21 11:53 AM,09/Sep/21 9:14 AM,09/Sep/21 10:33 AM,07/Sep/21 10:09 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-37,UM-2,,,,,,,,,{},,,,,,,0|i0006u:,,UM Sprint 1,,,,,,,,Done
Verify the 'Manufacturer Name' text field with special characters,UM-37,10072,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,03/Sep/21 11:45 AM,09/Sep/21 9:13 AM,09/Sep/21 10:33 AM,07/Sep/21 10:10 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-29,UM-2,,,,,,,,,{},,,,,,,0|i0006u:x,,UM Sprint 1,,,,,,,,Done
Verify that on the 'Pagination Functionality' previous button redirects to the previous page,UM-36,10071,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,03/Sep/21 11:15 AM,09/Sep/21 9:22 AM,09/Sep/21 9:22 AM,07/Sep/21 10:26 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-35,UM-32,,,,,,,,,{},,,,,,,0|i000dz:,,UM Sprint 1,,,,,,,,Done
Verify that on the 'Pagination Functionality' next button redirects to the next page,UM-35,10070,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,03/Sep/21 11:12 AM,09/Sep/21 9:22 AM,09/Sep/21 9:22 AM,07/Sep/21 10:27 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-34,UM-32,,,,,,,,,{},,,,,,,0|i000d7:,,UM Sprint 1,,,,,,,,Done
Verify that 'Pagination' displayed must contain previous and next clickable buttons on the Manufacturers page,UM-34,10069,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,03/Sep/21 11:07 AM,09/Sep/21 9:22 AM,09/Sep/21 9:22 AM,07/Sep/21 10:27 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-33,UM-32,,,,,,,,,{},,,,,,,0|i000dj:,,UM Sprint 1,,,,,,,,Done
Verify that max 20 records should be accommodated on the single manufacturers page otherwise records will move to the next page,UM-33,10068,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,03/Sep/21 11:03 AM,09/Sep/21 9:21 AM,09/Sep/21 9:21 AM,07/Sep/21 10:27 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-31,UM-32,,,,,,,,,{},,,,,,,0|i000db:,,UM Sprint 1,,,,,,,,Done
"As an admin, I want that 'Pagination' functionality present on the Manufacturers page so that can able to move to the next page or previous page",UM-32,10067,Story,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,03/Sep/21 10:52 AM,09/Sep/21 9:21 AM,09/Sep/21 9:24 AM,07/Sep/21 10:27 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,,,,,,,,,,,{},,UM-1,,,,,0|i000d3:,,UM Sprint 1,,,,,,,,Done
Verify that using 'Check Boxes' single or multiple Manufacturers name is selectable for bulk action,UM-31,10066,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,03/Sep/21 10:20 AM,09/Sep/21 9:20 AM,09/Sep/21 9:20 AM,07/Sep/21 10:20 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-30,UM-23,,,,,,,,,{},,,,,,,0|i000b9:,,UM Sprint 1,,,,,,,,Done
Verify that 'Check Boxes' are present on the Manufacturers page,UM-30,10065,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,03/Sep/21 10:15 AM,09/Sep/21 9:20 AM,09/Sep/21 9:20 AM,07/Sep/21 10:19 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-28,UM-23,,,,,,,,,{},,,,,,,0|i000b7:,,UM Sprint 1,,,,,,,,Done
Verify the 'Manufacturer Name' field with white spaces,UM-29,10064,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,03/Sep/21 1:03 AM,09/Sep/21 9:13 AM,09/Sep/21 10:33 AM,07/Sep/21 10:10 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-28,UM-2,,,,,,,,,{},,,,,,,0|i0006u:v,,UM Sprint 1,,,,,,,,Done
Verify the 'Manufacturer Name' field with null values,UM-28,10063,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,03/Sep/21 1:00 AM,09/Sep/21 9:13 AM,09/Sep/21 10:33 AM,07/Sep/21 10:09 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-27,UM-2,,,,,,,,,{},,,,,,,0|i0006u:r,,UM Sprint 1,,,,,,,,Done
Verify the 'Manufacturer Name' field with alphanumeric characters,UM-27,10062,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,03/Sep/21 12:51 AM,09/Sep/21 9:13 AM,09/Sep/21 10:33 AM,07/Sep/21 10:09 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-26,UM-2,,,,,,,,,{},,,,,,,0|i0006u:i,,UM Sprint 1,,,,,,,,Done
Verify that after taking the mouse on the 'Add New' button it's showing the 'Add New' comment,UM-26,10061,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,03/Sep/21 12:45 AM,09/Sep/21 9:13 AM,09/Sep/21 10:33 AM,07/Sep/21 10:09 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-20,UM-2,,,,,,,,,{},,,,,,,0|i0006r:,,UM Sprint 1,,,,,,,,Done
"As an admin, I want to see the 'Manufacturers Name', 'Sort Order' and 'Action' column on the manufacturers list page",UM-25,10060,Story,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,03/Sep/21 12:31 AM,09/Sep/21 9:21 AM,09/Sep/21 9:21 AM,07/Sep/21 10:27 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,,,,,,,,,,,{},,UM-1,,,,,0|i000bw:,,UM Sprint 1,,,,,,,,Done
"As an admin, I want to delete the existing manufacturers details when it's not needed on the records page",UM-24,10059,Story,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,03/Sep/21 12:29 AM,09/Sep/21 9:19 AM,09/Sep/21 9:19 AM,07/Sep/21 10:20 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,,,,,,,,,,,{},,UM-1,,,,,0|i000bb:,,UM Sprint 1,,,,,,,,Done
"As an admin, I want to select the manufacturers name using 'Check Boxes' so that bulk action can be performed",UM-23,10058,Story,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,03/Sep/21 12:25 AM,09/Sep/21 9:20 AM,09/Sep/21 9:21 AM,07/Sep/21 10:19 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,,,,,,,,,,,{},,UM-1,,,,,0|i000b3:,,UM Sprint 1,,,,,,,,Done
"As an admin, I want to sort the records using 'Sorting Functionality' so that I can able to see the data according to that",UM-22,10057,Story,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,03/Sep/21 12:23 AM,09/Sep/21 9:19 AM,09/Sep/21 10:33 AM,07/Sep/21 10:19 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,,,,,,,,,,,{},,UM-1,,,,,0|i000az:,,UM Sprint 1,,,,,,,,Done
"As an admin, I want to edit the existing manufacturers details so that if anything is wrong can able to modify it",UM-21,10056,Story,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,03/Sep/21 12:17 AM,09/Sep/21 9:18 AM,09/Sep/21 9:24 AM,07/Sep/21 10:17 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,,,,,,,,,,,{},,UM-1,,,,,0|i000an:,,UM Sprint 1,,,,,,,,Done
Verify that after clicking on 'Add New' button it should navigates to the add manufacturer page,UM-20,10055,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,02/Sep/21 10:20 PM,09/Sep/21 9:18 AM,09/Sep/21 10:33 AM,07/Sep/21 10:09 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-19,UM-2,,,,,,,,,{},,,,,,,0|i0006t:,,UM Sprint 1,,,,,,,,Done
Verify that 'Add New' button is present at the top right corner of the manufacturers page,UM-19,10054,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,02/Sep/21 10:10 PM,09/Sep/21 9:13 AM,09/Sep/21 10:33 AM,07/Sep/21 10:09 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-18,UM-2,,,,,,,,,{},,,,,,,0|i0006n:,,UM Sprint 1,,,,,,,,Done
Verify that when admin enters the alphanumeric characters in the 'Sort Order' field by default it should show only numeric values on the records page,UM-18,10053,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,02/Sep/21 5:42 PM,09/Sep/21 9:36 AM,09/Sep/21 9:36 AM,07/Sep/21 10:11 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-17,UM-2,,,,,,,,,{},,,,,,,0|i0009z:,,UM Sprint 1,,,,,,,,Done
Verify the 'Sort Order' field with numeric characters,UM-17,10052,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,02/Sep/21 5:37 PM,09/Sep/21 9:39 AM,09/Sep/21 9:39 AM,07/Sep/21 10:11 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-16,UM-2,,,,,,,,,{},,,,,,,0|i0009r:,,UM Sprint 1,,,,,,,,Done
Verify that 'Sort Order' field is present on the Add Manufacturers page,UM-16,10051,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,02/Sep/21 5:31 PM,09/Sep/21 9:39 AM,09/Sep/21 9:40 AM,07/Sep/21 10:11 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,,UM-2,,,,,,,,,{},,,,,,,0|i0009j:,,UM Sprint 1,,,,,,,,Done
Verify that on Image Manager page after uploading images it's showing the pop-up like 'Success: your file has been uploaded',UM-14,10049,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,02/Sep/21 5:07 PM,09/Sep/21 9:41 AM,09/Sep/21 9:41 AM,07/Sep/21 10:10 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-8,UM-2,,,,,,,,,{},,,,,,,0|i0006u:zzi,,UM Sprint 1,,,,,,,,Done
Verify that Image Manager page accepting max 16 'Images' on one page otherwise images will move to the next page,UM-13,10048,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,02/Sep/21 4:42 PM,09/Sep/21 9:26 AM,09/Sep/21 9:26 AM,07/Sep/21 10:11 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,,UM-2,,,,,,,,,{},,,,,,,0|i0006u:zzz,,UM Sprint 1,,,,,,,,Done
Verify that 'Search Icon' is present on the image manager page ,UM-11,10046,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,02/Sep/21 3:16 PM,09/Sep/21 9:29 AM,09/Sep/21 9:29 AM,07/Sep/21 10:11 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-10,UM-2,,,,,,,,,{},,,,,,,0|i0006u:zzx,,UM Sprint 1,,,,,,,,Done
Verify that on Image Manager page If entered the same folder name it should show the warning message like 'Name Already Exists',UM-10,10045,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,02/Sep/21 3:11 PM,09/Sep/21 9:28 AM,09/Sep/21 9:28 AM,07/Sep/21 10:11 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-9,UM-2,,,,,,,,,{},,,,,,,0|i0006u:zzv,,UM Sprint 1,,,,,,,,Done
Verify that admin can able to create the new folders for storing specific images using 'New Folder Icon',UM-9,10044,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,02/Sep/21 3:07 PM,09/Sep/21 9:28 AM,09/Sep/21 9:28 AM,07/Sep/21 10:10 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-8,UM-2,,,,,,,,,{},,,,,,,0|i0006u:zxi,,UM Sprint 1,,,,,,,,Done
Verify that on Image Manager Page 'Upload Button' is uploading the images and folders,UM-8,10043,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,02/Sep/21 3:02 PM,09/Sep/21 9:28 AM,09/Sep/21 9:28 AM,07/Sep/21 10:10 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-7,UM-2,,,,,,,,,{},,,,,,,0|i0006u:zz,,UM Sprint 1,,,,,,,,Done
Verify that on the Image Manager page 'Refresh Button' is refreshing the page or not,UM-7,10042,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,02/Sep/21 2:58 PM,09/Sep/21 9:28 AM,09/Sep/21 9:28 AM,07/Sep/21 10:10 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-6,UM-2,,,,,,,,,{},,,,,,,0|i0006u:zy,,UM Sprint 1,,,,,,,,Done
Verify that after clicking on 'Image field' it's showing two icons edit and delete ,UM-6,10041,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,02/Sep/21 2:54 PM,09/Sep/21 9:28 AM,09/Sep/21 9:28 AM,07/Sep/21 10:10 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-5,UM-2,,,,,,,,,{},,,,,,,0|i0006u:zv,,UM Sprint 1,,,,,,,,Done
Verify that after clicking on edit button on 'Image field' it's navigating to the Image Manager page ,UM-5,10040,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,02/Sep/21 2:48 PM,09/Sep/21 9:28 AM,09/Sep/21 9:28 AM,07/Sep/21 10:10 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-4,UM-2,,,,,,,,,{},,,,,,,0|i0006u:zx,,UM Sprint 1,,,,,,,,Done
Verify that after clicking on 'Delete' button It's deleting the selected images or folders,UM-4,10039,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,02/Sep/21 2:44 PM,09/Sep/21 9:28 AM,09/Sep/21 9:28 AM,07/Sep/21 10:11 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-3,UM-2,,,,,,,,,{},,,,,,,0|i0006u:zzzm,,UM Sprint 1,,,,,,,,Done
Verify that 'Image field' is present on the Add Manufacturers page,UM-3,10038,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,02/Sep/21 2:18 PM,09/Sep/21 9:28 AM,09/Sep/21 9:28 AM,07/Sep/21 10:10 AM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,,UM-2,,,,,,,,,{},,,,,,,0|i0006u:zr,,UM Sprint 1,,,,,,,,Done
"As an admin, I want to add 'Manufacturer' on the portal so that they can start to work with us",UM-2,10037,Story,Blocked,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,02/Sep/21 2:08 PM,09/Sep/21 9:12 AM,09/Sep/21 10:33 AM,,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,,,,,,,,,,,{},,UM-1,,,,,0|i0006f:,,UM Sprint 1,,,,,,,,In Progress
As an admin of the Uniformstore I want to manage the Manufacturers Section,UM-1,10036,Epic,In Progress,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,02/Sep/21 1:20 PM,09/Sep/21 9:43 AM,09/Sep/21 9:43 AM,,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,,,,,,,,,,,{},ghx-label-10,, Manufacturers,To Do,,,0|i00067:,,UM Sprint 1,,,,,,,,In Progress
